user,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
vitorhenriquec,0.0023864767118047746,0.02113351268511211,0.0,0.02130592944085896,0.0011650775965185987,0.00017902340870663047
Larissagilliane,0.0507329314970475,0.0,0.0,0.015603052401001509,0.0045245507277014586,0.018065194743352907
daniellycosta,0.014340171311902157,0.016625120699870072,0.0,0.015457985542585337,0.02409492256078202,0.07870068608015915
nandomaciel,0.0,0.016150668447003864,0.0,0.06037603217552135,0.005341881918584104,0.0033333756676382563
AndersonSMed,0.025653801797529678,0.029948345204349892,0.0,0.03899731867326742,0.0059685622904183415,0.034205449273439596
ja0n,0.025170101233443983,0.0,0.0028372089155268214,0.035522978173279186,0.039117798710098406,0.0
italovieira,0.0,0.0009896060785829577,0.0,0.013781420366544186,0.0,0.039759492226921635
sarasouza18,0.01718740474453994,0.0,0.0,0.045881511619650955,0.0002444402991230736,0.0
gellyviana,0.014578411803803634,0.0,0.017332549299490622,0.0020579505008806085,0.0,0.022814543345491087
jpholanda,0.0,0.0,0.0,0.01099922304932978,0.0,0.0
edivaniap,0.0022822868379049504,0.050891126843880405,0.002673917556754655,0.004022857133925957,0.0,0.04783865576104089
thaislins,0.014613461234163844,0.0,0.0,0.03149627393650249,0.0,0.000954444959434153
raquel-oliveira,0.0,0.016155362002810945,0.0009192740501107078,0.035103093590720724,0.0,0.022535534753303804
SeuRAUL,0.02503423975444806,0.005348197203580107,0.003242252956814039,0.014456599522971486,0.0,0.04878656460986199
santii,0.0029150235335566074,0.0,0.011800382003904484,0.0076256496086479575,0.001380873636887106,0.0
zrcing,0.019576963834139965,0.0,0.0032547429361396963,0.06599029750441478,0.003915584026504809,0.0
StefanYohansson,0.019003557756450996,0.005296783479459122,0.000567112398072479,0.0647737322409065,0.002949003197191749,0.0
erick003,0.0,0.0,0.0,0.0,0.0004641858610364611,0.06760162895596551
gjmoura,0.0,0.03746836123920238,0.0,0.009959721993587491,0.0,0.04983995891666382
AtysonJaime,0.003640764550326716,0.0914407983629357,0.0,0.0,0.0,0.044244250429951386
silva-thiago,0.03232557398622857,0.015148578671337638,0.0,0.03600331489814288,0.0,0.015255962297805492
gashawgedef,0.011443309471048699,0.0,0.0,0.030964391645142645,0.007271465640715087,0.0005450602278808351
Eness92,0.0003244569462059163,0.0006693312156146974,0.0,0.01892134625090096,0.0,0.0
mjamilasfihani,0.02164387633205423,0.0,0.004150155455569761,0.03415180140461819,0.018927584837321345,0.0
jeroenvanwissen,0.008708489136968145,0.0,0.031913619411558375,0.014552620985921774,0.0046508476458829206,0.0
pknb213,0.004359348795988853,0.0019077901455890173,0.003685407795405021,0.04363483082120719,0.007266279781511097,0.002128787285201812
SalamanderCtesiphon,0.05632124887009892,0.0,0.00956488357503168,0.03707653185977785,0.05615475167547801,0.0009644026181599954
aniebietafia,0.017276354705402043,0.00102497194586327,0.0,0.07354517150165951,0.017589083569193746,0.0
El-Potato-Slayer,0.04282352112241222,0.0,0.0,0.014757321123407002,0.021489742114708218,0.0
ozturkgizem,0.0007238743332310797,0.0011000098669396508,0.0,0.010444630707822753,0.0,6.812654173131377e-05
abu3beid,0.0008773550151394361,0.0,0.0,0.01580630550888124,0.0,0.0
lucapelorosso,0.0,0.0,0.0,8.465129954124112e-05,0.0,0.0
mintrix,0.00010510314511807371,0.008192606504168516,0.0,0.002260026457500958,0.0,0.006725993812780811
pkumars397,0.024636121575885735,0.0008364327547177991,0.03669810318579909,0.02241520713945462,0.0,0.0
bugratemirci,0.013658909355892876,0.0,0.08070153056567518,0.010812367644568138,0.0,0.0
yangvi0158,0.03154969467962957,0.0,0.0,0.007551380507576268,0.02171945853343829,0.0
Theedon,0.011460334599794342,0.0,0.0,0.06425138329429786,0.0012657887541909932,0.0020030234423763986
bmurenzi25,0.0,0.001087730332649062,0.0,0.03454616169742642,0.01795022341931342,5.025345468698331e-05
DanielEmill,0.003168074986080072,0.003636167188576645,0.0,0.0018986803937112537,0.0014753611922553218,0.0028097126187039806
binos30,0.05393024222651837,0.0,0.008721511671192473,0.010232226197674214,0.017904429675814165,0.0
qmclouca,0.004514853289904374,0.0198068327909016,0.0,0.06380770098860812,0.0,0.02097833685265217
junxian428,0.01604987646949706,0.002479596760986349,0.0,0.045252534344009,0.0,0.0
Alekla0126,0.03701308210144612,0.0,0.01148903111549055,0.01778193295573222,0.0003216094550246704,0.00940922033006082
q33071802q,0.0017016013891182373,0.00251974349552903,0.0,0.01790002318252537,0.007309425204226498,0.0014619246058414257
PMunyao,0.0,0.0,0.0,0.03285696440268894,0.0027372832680055315,0.0
lcslima45,0.0045038882609519364,0.01874260870978557,0.0,0.03994051859316213,0.0038131493421270316,0.012604933364122274
jyotirmoydotdev,0.058493247925690856,0.0,0.0,0.03290833705217215,0.0,0.0
tianlinxu312,0.0,0.0,0.0,0.03644162312462506,0.0,0.0
guitarkeegan,0.04147922024020201,0.0,0.017454023627434312,0.042499831848971305,0.018644934613031967,0.0
bertanulusoy,0.016862316645567203,0.0,0.0,0.046574393830602245,0.0,0.0011574157205743857
JonesGP,0.0,0.018889622253078973,0.016124842173926957,0.01735392698255312,0.0284936912433883,0.0
balogun1104,0.044665119737541545,0.0,0.0,0.006087023128731232,0.009773865254486407,0.00040857941893281466
niba291,0.071756144815296,0.00046525345014829787,0.0,0.0,0.005305988363572922,0.0
LHCyGan,0.0,0.0027632431185763526,0.0,0.015287503128674594,0.0,0.0
majestyjnr,0.06658418156961204,0.0,0.008665083818518559,0.03845329484018156,0.008972030767409614,0.0011542790006396299
DouglasSilva2,0.0,0.0295579446168045,0.0,0.019178985218748924,0.0,0.023084450963006528
danilomonteirosouza,0.03039243199309717,0.0,0.0,0.017161538081202507,0.0,0.00012452137044421192
ismetskoy,0.00044484774156771593,0.002559633978443522,8.798382969600064e-05,0.005301694657450332,0.0037360965990616743,0.0
BilalLiaquat7,0.021706823637755664,0.0,0.0,0.01058486078689045,0.0845568461458024,0.0
lfrclnando,0.012373715889947194,0.021489189042537785,0.0032051072857856478,0.016233559097260947,0.06385056878250073,0.0061487878052058215
smahmoodh,0.029931472181316667,0.0007727040020548137,0.0,0.00032105756016941565,0.003119467019498732,0.0
fly51fly,0.0,0.0,0.0,0.028760355180638627,0.0,0.0
Neos21,0.014505189073951995,0.0002362452327464491,0.012219903179627442,0.019021233807286504,0.021877049511254087,0.0
ugrkilc,0.0,0.0,0.0,0.050368599160702195,0.0,0.0
